name,type,description,description_beginner,synonyms,n_linked_studies,atlas_url
Metformin,Drug,"Antidiabetic biguanide; activates AMPK (ZHO2001) and inhibits mTORC1. How much of its action actually runs through AMPK is disputed: metformin still suppresses hepatic gluconeogenesis in AMPK-null and LKB1-null mouse liver (FOR2010) and still inhibits mTORC1 in AMPK-null cells, via the Rag GTPases (KAL2010). Frequently discussed as a geroprotector alongside rapamycin.","A widely used diabetes drug that switches on AMPK and, through that, dials down mTORC1. Exactly how much of its effect runs through AMPK versus other routes is still debated - it still works in cells that lack AMPK entirely. It's often discussed as a possible longevity drug alongside rapamycin.",,3,https://mtor-atlas.org/drug/metformin/
SAMTOR,Gene/Protein,"Sensor of S-adenosylmethionine (SAM), linking methionine / one-carbon metabolism to mTORC1 via GATOR1.","A sensor for S-adenosylmethionine (SAM), a molecule that reports how much of the amino acid methionine is available. It links methionine metabolism to mTORC1 through the GATOR1 brake.",,2,
p62/SQSTM1,Gene/Protein,Autophagy cargo receptor and mTORC1-activating scaffold on lysosomes; elevated p62 accumulation indicates impaired autophagic flux.,"A protein that both helps mTORC1 switch on at the lysosome and gets swept up and destroyed during cellular cleanup (autophagy). When autophagy isn't working properly, it piles up - so scientists use it as a marker of blocked cleanup.",,3,https://mtor-atlas.org/gene/p62-sqstm1/
FKBP12,Gene/Protein,"Rapamycin's docking protein. Rapamycin first binds FKBP12; only the FKBP12-rapamycin pair can grab mTOR. This is why rapamycin is an 'allosteric' (indirect) inhibitor - it works through a chaperone, not by blocking the active site.","The 'docking protein' rapamycin needs to work. Rapamycin first grabs onto this protein, and only that combined pair can then latch onto and block mTOR - which is why rapamycin is called an indirect ('allosteric') inhibitor rather than one that blocks mTOR's active site directly.",,2,
Leucine,Nutrient/Metabolite,"Branched-chain essential amino acid and the best-characterised nutrient input to mTORC1. Free leucine binds Sestrin2, releasing the GATOR2 brake; a competing model has leucyl-tRNA synthetase as the sensor instead.","An essential amino acid and the best-understood dietary trigger for mTORC1. Free leucine binds to the sensor Sestrin2, releasing its brake on GATOR2; a rival idea says the real sensor is actually an enzyme called leucyl-tRNA synthetase (LARS) instead.",,5,https://mtor-atlas.org/nutrient/leucine/
Rag GTPases,Gene/Protein,Family of small GTPases that let mTORC1 sense amino acids by controlling its localization near its activator Rheb inside the cell.,"A family of small molecular switches that let mTORC1 sense amino acids by controlling where inside the cell it's allowed to sit - specifically, whether it can get close enough to its activator Rheb.",Rag; Rag GTPase; RagA; RagB; RagC; RagD; RagA/B; RRAGA; RRAGB,5,https://mtor-atlas.org/gene/rag-gtpases/
Alzheimer's disease,Disease,Neurodegenerative disease marked by amyloid-beta plaques and tau tangles. mTOR overactivation blocks the autophagy that would clear these toxic proteins; rapamycin restores clearance in mouse models.,A brain disease marked by sticky amyloid-beta plaques and tangled tau protein. Overactive mTOR blocks the cellular cleanup that would normally clear these toxic proteins out; rapamycin restores that clearance in mouse models.,,3,https://mtor-atlas.org/disease/alzheimers-disease/
Caloric restriction,Intervention,Reduced caloric intake without malnutrition; associated with lifespan extension across species.,Eating meaningfully fewer calories without becoming malnourished. It's linked to longer lifespan across many species and is one of the classic ways researchers dial down mTOR signaling through diet.,,4,https://mtor-atlas.org/intervention/caloric-restriction/
CASTOR1,Gene/Protein,Direct cytosolic arginine sensor for the mTORC1 pathway; arginine binding releases its inhibition of GATOR2.,"A sensor inside the cell that directly detects the amino acid arginine. When arginine binds it, it releases its grip on GATOR2, allowing mTORC1 signaling to proceed.",,1,
cGAS-STING pathway,Pathway/Complex,An innate immune sensing pathway triggered by cytosolic DNA; drives inflammatory senescence signaling and is activated downstream of mTOR dysfunction in aging immune cells.,"An immune alarm system that detects DNA where it shouldn't be (in the cell's main fluid, not the nucleus). It drives inflammatory 'senescence' signaling and gets switched on when mTOR signaling goes wrong in aging immune cells.",,1,
Akt/PKB,Gene/Protein,Key kinase downstream of PI3K in growth signaling; activated by mTORC2.,"A key signaling kinase that sits downstream of PI3K and is switched on by mTORC2. It's one of the cell's central 'growth is good, keep going' signals.","Akt; AKT; AKT1; PKB; protein kinase B; Akt Ser473; phospho-Akt S473

Pozn.: 'Akt Ser473' je fosforylační místo, ne samostatná entita — vedeno jako synonymum, aby se studie o něm navázaly sem.",13,https://mtor-atlas.org/gene/akt-pkb/
SLC15A3,Gene/Protein,A lysosomal dipeptide transporter that imports dipeptides to sustain mTORC1 activation and can confer antimetabolite chemotherapy resistance in lymphoma.,"A transporter on the lysosome that imports small protein fragments to help keep mTORC1 switched on. In lymphoma, this can also help cancer cells resist certain chemotherapy drugs.",,1,
TNKS2 (Tankyrase-2),Gene/Protein,"Tankyrase-2, a PARP family enzyme; its loss activates AMPK and suppresses mTORC1, impairing adipocyte differentiation.","An enzyme related to the PARP family. Removing it switches on the AMPK brake and dials down mTORC1, which in mice blocks fat cells (adipocytes) from maturing properly.",,1,
Cellular senescence,Biological process,"State in which a cell permanently stops dividing but stays alive, secreting inflammatory signals (the SASP). Senescent cells accumulate with age and drive age-related disease. mTOR both promotes the senescent state and powers its inflammatory secretions.",A state where a cell permanently stops dividing but stays alive and starts pumping out inflammatory signals. These 'zombie cells' build up with age and drive age-related disease; mTOR both helps push cells into this state and powers the inflammatory signals they release.,,3,https://mtor-atlas.org/process/cellular-senescence/
TBC1D7,Gene/Protein,Third constitutive subunit of the TSC complex; its loss weakens but does not abolish TSC1-TSC2 function.,"A third, less essential building block of the TSC brake complex. Losing it weakens the TSC1/TSC2 brake on mTORC1 but doesn't fully knock it out.",,1,
PI3K,Gene/Protein,Phosphoinositide 3-kinase; produces signaling lipids downstream of growth-factor receptors; activates Akt and sits upstream of the entire mTOR pathway.,"An enzyme that produces signaling lipids right after a growth-factor receptor is switched on. It activates Akt and sits at the very top of the whole mTOR pathway, upstream of everything else.",,6,https://mtor-atlas.org/gene/pi3k/
Sestrin2,Gene/Protein,"Direct intracellular leucine sensor and a NEGATIVE regulator of mTORC1. When leucine is scarce, Sestrin2 binds and inhibits GATOR2, so GATOR1 stays active and keeps mTORC1 switched off. Leucine binding (~20 uM affinity) releases GATOR2 - the pathway is switched on by removing a brake, not by adding a signal. Sestrin2 does not act on the Rag GTPases directly; it works two steps upstream, through GATOR2 and GATOR1.","The main sensor that directly detects leucine inside the cell, and a brake on mTORC1. When leucine is scarce, it holds down GATOR2, which keeps GATOR1 active and mTORC1 switched off. Leucine coming back releases GATOR2, so this is a brake being lifted, not a new 'go' signal being added - and it works two steps upstream of the Rag GTPases, not directly on them.",,2,
mTORC1,Pathway/Complex,"mTOR Complex 1; regulates protein synthesis, autophagy, and growth in response to nutrients and growth factors.","The first of the two mTOR complexes, and the one most people mean when they just say 'mTOR.' It controls protein-building, cellular cleanup, and growth in response to nutrients and growth-factor signals.",TORC1; mTOR complex 1; mTOR complex-1,78,https://mtor-atlas.org/complex/mtorc1/
DEPTOR,Gene/Protein,Endogenous inhibitor of both mTORC1 and mTORC2; paradoxically overexpressed in a subset of multiple myelomas.,"A natural brake on both mTOR complexes at once. Oddly, some multiple myeloma (bone marrow cancer) cells make extra amounts of it despite it being an inhibitor - a paradox that isn't fully explained.",,1,
Kidney transplant,Outcome,"Original and still-standard clinical use of rapamycin (as sirolimus), preventing organ rejection by suppressing T cell activation.",The original medical use of rapamycin: preventing the immune system from rejecting a transplanted organ by suppressing T-cell activation.,,1,
SREBP1 / SREBP2,Gene/Protein,"Sterol regulatory element-binding proteins 1 and 2; master transcription factors for de novo lipid and cholesterol biosynthesis. mTORC1 promotes SREBP nuclear entry (via Lipin-1 and S6K1), linking nutrient sensing to the lipogenic program. SREBP1/2 are thus a major downstream metabolic output of mTORC1 alongside protein synthesis and autophagy suppression.","Master genetic switches for building new fats and cholesterol from scratch. mTORC1 helps move them into the nucleus to switch these genes on, linking nutrient signals to fat-making, alongside its roles in protein building and blocking cleanup.",,0,
Energy & cellular stress,Condition,"Falling ATP, glucose withdrawal and a range of other insults. They converge on mTORC1 through two routes: AMPK, and physical relocation of the TSC complex to the lysosome.","A catch-all for problems like falling energy (ATP) levels or glucose shortage. These reach mTORC1 through two separate routes: the AMPK brake, and physically moving the TSC complex to the lysosome.",,4,https://mtor-atlas.org/condition/energy-cellular-stress/
IRS-1 / IRS-2,Gene/Protein,"Insulin receptor substrate proteins - the adaptors that carry the signal from the insulin/IGF-1 receptor to PI3K. S6K1 phosphorylates and represses them, which is the pathway's principal negative feedback loop: sustained mTORC1 activity deafens the cell to insulin, and blocking mTOR restores insulin signalling and raises Akt activity.","The adaptor proteins that carry the signal from the insulin/IGF-1 receptor onward to PI3K. mTORC1's partner S6K1 tags them for shutdown, which is the pathway's main feedback brake: too much mTORC1 activity 'deafens' the cell to insulin, and blocking mTOR restores that sensitivity and raises Akt activity.",IRS1; IRS2; insulin receptor substrate,3,https://mtor-atlas.org/gene/irs-1-irs-2/
Nucleotide synthesis,Biological process,"De novo purine and pyrimidine production. mTORC1 matches supply to demand here, which is why proliferating cells are so dependent on it.","Building the raw materials (DNA/RNA letters) from scratch. mTORC1 ramps this up to match how fast a cell is dividing, which is a big part of why rapidly growing cells depend on mTOR so heavily.",,4,https://mtor-atlas.org/process/nucleotide-synthesis/
Green tea extract,Drug,Polyphenol-rich supplement tested by the ITP for lifespan effects; no significant effect found overall.,"A polyphenol-rich supplement tested for anti-aging effects in a formal mouse study. Overall, it showed no significant lifespan benefit.",,1,
LKB1 (STK11),Gene/Protein,"A serine/threonine kinase that activates AMPK and acts upstream of mTOR to regulate cellular energy sensing, autophagy, and metabolism.","An enzyme that switches on AMPK and, through it, helps regulate the cell's energy sensing, cleanup (autophagy), and metabolism - sitting upstream of the mTOR pathway.",,1,
Protein synthesis,Biological process,"Cap-dependent translation - the main output mTORC1 exists to control, and the step where a signalling decision becomes physical growth.","Building proteins from mRNA - the main job mTORC1 exists to control, and the step where a signaling decision (mTOR is on) turns into an actual physical outcome (the cell grows).",,6,https://mtor-atlas.org/process/protein-synthesis/
SLC38A9,Gene/Protein,Lysosomal amino-acid transporter and signaling component; acts as an arginine sensor on the lysosomal membrane. Works together with v-ATPase and Ragulator to relay luminal arginine availability to the Rag GTPases and thereby recruit mTORC1. Loss of SLC38A9 impairs arginine-dependent mTORC1 activation.,"A transporter on the lysosome membrane that acts as an arginine sensor. Working together with v-ATPase and Ragulator, it relays how much arginine is stored inside the lysosome so the Rag GTPases can recruit and switch on mTORC1. Without it, arginine can't properly activate mTORC1.",,5,https://mtor-atlas.org/gene/slc38a9/
Tuberous sclerosis complex,Disease,"Genetic disorder from TSC1/TSC2 loss causing constitutive mTOR activation and benign tumors in brain, kidney, and elsewhere. Everolimus shrinks these tumors (EXIST trials) - the clearest randomised human evidence that blocking mTOR helps a human disease driven by mTOR overactivation.","A genetic disease caused by loss of the TSC1 or TSC2 brake, leaving mTOR stuck in the 'on' position and causing benign tumors in the brain, kidneys, and elsewhere. Everolimus shrinks these tumors - the clearest, most direct evidence in humans that blocking mTOR helps a disease actually caused by too much mTOR activity.",,5,https://mtor-atlas.org/disease/tuberous-sclerosis-complex/
S-adenosylmethionine (SAM),Nutrient/Metabolite,"Universal methyl donor whose level reports methionine availability. SAM binds SAMTOR, which otherwise inhibits mTORC1 through the GATOR1-KICSTOR complex.","A universal 'methyl donor' molecule whose level reflects how much of the amino acid methionine is available. It binds the sensor SAMTOR, which would otherwise keep mTORC1 suppressed.",,1,
Autophagy,Biological process,Cellular recycling process suppressed by mTORC1 and activated upon its inhibition; linked to longevity.,"The cell's built-in recycling system. mTORC1 normally keeps it switched off; when mTORC1 is blocked, it switches on, clearing out damaged proteins and organelles - and it's linked to longer lifespan.",,18,https://mtor-atlas.org/process/autophagy/
AMPK,Gene/Protein,AMP-activated protein kinase; cellular energy sensor; inhibits mTORC1 under low-energy conditions.,"The cell's energy-shortage alarm. When energy is running low, it switches on and puts the brakes on mTORC1.",,9,https://mtor-atlas.org/gene/ampk/
Beclin-1 (BECN1),Gene/Protein,Core autophagy protein required for autophagosome nucleation; regulated by mTOR and inhibited by Bcl-2 family members.,"A core protein required to start building autophagosomes, the sacs that carry out cellular cleanup. It's controlled by mTOR and held back by the Bcl-2 family of proteins.",,1,
Temsirolimus,Drug,Intravenous rapamycin ester (CCI-779); mTOR inhibitor approved for advanced renal cell carcinoma.,"An injectable, water-soluble version of rapamycin. It's an approved mTOR-blocking treatment for advanced kidney cancer.",,1,
Actin cytoskeleton,Biological process,Cell shape and motility machinery. The first function ever attributed to mTORC2 - and noticed precisely because rapamycin failed to block it.,"The scaffolding that gives a cell its shape and lets it move. This was the very first job ever pinned on mTORC2 - and it was discovered precisely because rapamycin failed to block it, which is how scientists first realized there had to be a second mTOR complex.",,3,https://mtor-atlas.org/process/actin-cytoskeleton/
Hypoxia,Condition,"Low oxygen. Acts on mTORC1 transcriptionally through REDD1 rather than through AMPK, so it is slower to engage and slower to release.","Low oxygen levels. It reaches mTORC1 through a gene called REDD1 rather than through the AMPK energy-sensing route, so it's slower to switch the brake on and slower to release it again.",,1,
ERK / RSK (MAPK),Gene/Protein,"The Ras-MAPK growth-signalling arm. ERK and its effector RSK phosphorylate TSC2 and inactivate the TSC complex, so MAPK signalling converges on the same brake that Akt releases (MA2005). This is the third major upstream input to mTORC1 alongside PI3K/Akt and AMPK, and it is a route to mTORC1 activation that PI3K inhibitors do not close. mTORC1 inhibition also feeds back to activate MAPK (CAR2008).","A separate growth-signaling chain that reaches mTORC1 through its own route. Two of its members disable the TSC brake, the same brake that Akt also releases - so this is a third major way to switch mTORC1 on, one that drugs blocking PI3K don't touch. mTORC1 can also feed back and switch this chain on.",ERK; ERK1/2; MAPK; RSK; p90RSK; Ras-MAPK,2,
RTB101,Drug,An oral ATP-competitive mTOR inhibitor (formerly BEZ235) tested for boosting immune function in the elderly; improved antiviral gene expression but failed its phase 3 clinical endpoint.,"An oral mTOR-blocking drug tested for boosting immune function in older adults. It improved antiviral gene activity in early trials but ultimately failed to meet its goal in a larger, phase 3 clinical trial.",,2,
RUBCN (Rubicon),Gene/Protein,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein; a negative regulator of autophagy whose suppression activates autophagic flux.,A protein that normally acts as a brake on autophagy (the cell's self-cleaning process). Suppressing it releases that brake and ramps up autophagy - a strategy some cancer cells exploit to resist chemotherapy.,,1,
PFKFB3,Gene/Protein,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3, a rate-limiting glycolytic regulator controlled downstream of mTORC2.","A control enzyme for glycolysis, the fast way cells burn sugar. It sets the pace of that pathway, and mTORC2 sits upstream of it deciding how much of it the cell makes.",,0,
PIP4K2A,Gene/Protein,Phosphatidylinositol-5-phosphate 4-kinase type II alpha; regulates autophagy and AKT/mTOR signaling and is neuroprotective in cerebral ischemia/reperfusion models.,An enzyme that helps regulate both cellular cleanup (autophagy) and Akt/mTOR signaling; in animal models it also appears to protect brain cells after a stroke-like injury.,,1,
TET1,Gene/Protein,"Ten-eleven translocation methylcytosine dioxygenase 1, an epigenetic eraser that drives DNA demethylation of target promoters.","An enzyme that erases chemical 'off' tags (methyl groups) from DNA. Stripping those tags lets genes that had been silenced be read again, so it helps decide which parts of the genome a cell actually uses.",,0,
mTORC2,Pathway/Complex,"mTOR Complex 2; phosphorylates Akt/PKB, affects cell survival and glucose metabolism.","The second, less-studied of the two mTOR complexes. It switches on Akt and affects cell survival and how cells handle sugar.",TORC2; mTOR complex 2; mTOR complex-2,14,https://mtor-atlas.org/complex/mtorc2/
REDD1 (DDIT4),Gene/Protein,Hypoxia-induced protein that suppresses mTORC1 through the TSC complex - the mechanism by which low oxygen and low growth factors share a single brake.,A protein switched on by low oxygen that suppresses mTORC1 by acting through the TSC brake complex - the shared mechanism by which both low oxygen and weak growth-factor signals apply the same brake.,,1,
S6K1,Gene/Protein,"Direct downstream effector of mTORC1 controlling protein synthesis, and the source of the pathway's main negative feedback: S6K1 phosphorylates and represses IRS-1, uncoupling the insulin receptor from PI3K (HAR2004, SHA2004). Its deletion extends lifespan in FEMALE mice (+19% median, not significant in males; SEL2009) and protects against diet-induced obesity.","A direct downstream partner of mTORC1 that helps control protein building, and the source of the pathway's main feedback brake: it tags the insulin-signaling adaptor IRS-1 for shutdown, disconnecting the insulin receptor from the rest of the pathway. Removing it extends lifespan in female mice (not clearly in males) and protects against diet-driven weight gain.",p70 S6K; p70 S6 kinase; S6 kinase 1; RPS6KB1; p70S6K,9,https://mtor-atlas.org/gene/s6k1/
Rheb,Gene/Protein,Small GTPase that directly activates mTORC1 when in its GTP-bound state; held inactive by TSC1/TSC2.,A small molecular switch that directly turns mTORC1 on when it's in its 'active' state. The TSC1/TSC2 brake keeps it held inactive until nutrient and growth signals say otherwise.,,8,https://mtor-atlas.org/gene/rheb/
GADD45alpha,Gene/Protein,Stress-inducible DNA repair protein regulated downstream of the mTOR-TFEB axis; restoration of its expression by TFEB activation confers protection against nephrotoxicity.,"A stress-response, DNA-repair protein controlled downstream of the mTOR-TFEB signaling chain. Restoring its levels - by activating TFEB - has helped protect against drug-induced kidney damage in animal studies.",,1,
Insulin resistance,Outcome,"Metabolic side effect of chronic mTOR inhibition. In mice, mTORC2 disruption is a major contributor (LAM2012). In humans the relative contributions are not resolved: mTORC2 loss, S6K1-IRS-1 feedback relief (HAR2004, SHA2004) and direct beta-cell effects are all plausible, and no study has apportioned them.","A metabolic side effect sometimes seen with long-term mTOR blocking. In mice this is mostly traced to disrupting mTORC2; in humans it's less clear-cut, since mTORC2 loss, a feedback loop involving S6K1/IRS-1, and direct effects on insulin-making cells could all be contributing, and no study has yet worked out how much each one matters.",,4,https://mtor-atlas.org/outcome/insulin-resistance/
Osteoarthritis,Disease,"Age-related degenerative joint disease characterised by cartilage matrix loss, inflammation and impaired chondrocyte autophagy.","The 'wear and tear' joint disease of ageing, in which the cartilage cushioning a joint breaks down. The cartilage cells lose their ability to clear out damaged parts by autophagy, and inflammation speeds the loss along.",,0,
Resveratrol,Drug,Plant polyphenol popularized as a sirtuin activator and 'calorie-restriction mimetic'; failed to extend lifespan in ITP mouse studies and showed no metabolic benefit in a human RCT.,"A plant compound found in red wine, popularized as an activator of 'sirtuin' longevity genes and a calorie-restriction mimic. It failed to extend lifespan in a rigorous mouse study and showed no metabolic benefit in a human clinical trial.",,3,https://mtor-atlas.org/drug/resveratrol/
Urolithin A,Drug,"Gut microbiome-derived polyphenol metabolite that activates mitophagy via the AMPK-mTOR axis, with cardioprotective effects in heart failure models.","A compound made by gut bacteria from certain plant polyphenols. It switches on mitophagy (cleanup of damaged mitochondria) through the AMPK-mTOR pathway, and has shown heart-protective effects in animal models of heart failure.",,1,
FLCN / FNIP1/2,Gene/Protein,"Folliculin and its binding partners FNIP1/2; act as a GTPase-activating protein (GAP) for RagC/D, switching the Rag heterodimer into the configuration that recruits mTORC1 to the lysosome. FLCN-FNIP complements the GATOR1/GATOR2 arm by regulating the RagC/D half of the cycle. Loss of FLCN causes Birt-Hogg-Dube syndrome through a SUBSTRATE-SPECIFIC defect rather than blanket mTORC1 hyperactivation: canonical outputs (S6K1, 4E-BP1) are largely preserved, while TFEB and TFE3 escape phosphorylation and accumulate in the nucleus (NAP2020).","A protein complex that helps switch the Rag GTPases into the right configuration to bring mTORC1 to the lysosome - working alongside, but through a different route than, the GATOR1/GATOR2 system. Losing it causes a genetic disease (Birt-Hogg-Dube syndrome) not because mTORC1 goes generally haywire, but because a couple of its specific outputs (TFEB and TFE3) stop being properly turned off.",FLCN; folliculin; FNIP1; FNIP2; FNIP1/2,3,https://mtor-atlas.org/gene/flcn-fnip1-2/
NF-κB,Pathway/Complex,Master pro-inflammatory transcription factor complex that cross-talks extensively with PI3K/AKT/mTOR signalling.,"The cell's main inflammation switch: a protein complex that, once released, moves into the nucleus and turns on hundreds of immune genes. It talks back and forth constantly with the PI3K/AKT/mTOR growth pathway.",,0,
4E-BP1,Gene/Protein,Translational repressor; the master effector through which mTORC1 controls protein synthesis. mTORC1 phosphorylates 4E-BP1 to release eIF4E and switch translation ON.,"A protein that holds the translation-starter eIF4E hostage - until mTORC1 phosphorylates it, releasing eIF4E and switching protein production on. It's the main effector through which mTORC1 controls how much protein a cell makes.",4E-BP; 4EBP1; EIF4EBP1; PHAS-I,7,https://mtor-atlas.org/gene/4e-bp1/
Salvianolic acid B,Drug,Polyphenol from Salvia miltiorrhiza that engages AKT1 and the AKT/mTOR/HIF-1α axis to promote angiogenesis and repair.,"A polyphenol from red sage (Salvia miltiorrhiza), used in Chinese medicine for circulation. In lab studies it binds AKT1 and drives the AKT/mTOR/HIF-1α chain that tells damaged tissue to build new blood vessels and repair itself.",,0,
Skin aging,Outcome,"Visible and molecular aging of skin (photodamage, dermal thinning, senescence markers like p16). Topical rapamycin reduced these markers in a human trial.","Visible and molecular changes in aging skin - sun damage, thinning, and buildup of 'senescent' cells. In a human trial, a topical rapamycin cream reduced some of these markers.",,1,
Dihydromyricetin,Drug,Flavonoid from Ampelopsis grossedentata reported to reduce fibrosis with accompanying suppression of PI3K/AKT/mTOR signalling.,A flavonoid from vine tea. In animal studies it reduces fibrosis - the stiff scarring that replaces healthy tissue - and this comes together with a quieting of PI3K/AKT/mTOR signalling.,,0,
Tumor growth,Biological process,"The shared endpoint of the pathway's oncogenic lesions, and the outcome every mTOR inhibitor trial in this Atlas was actually measuring.",How much a tumor grows and spreads - the outcome that every mTOR-inhibitor cancer trial in this Atlas was ultimately trying to measure.,,5,https://mtor-atlas.org/process/tumor-growth/
GATOR1,Pathway/Complex,Negative regulator of the Rag GTPases (a GAP); switches mTORC1 OFF when amino acids are scarce. Tumor suppressor - mutated in some cancers.,"The main 'off switch' for mTORC1 in the amino-acid sensing system - it acts on the Rag GTPases to shut mTORC1 down when nutrients run low. It's a tumor suppressor, and it's found mutated in some cancers.",,2,
Ragulator,Pathway/Complex,Lysosome-anchored scaffold that recruits the Rag GTPases and positions mTORC1 on the lysosomal surface for activation.,A scaffold anchored to the lysosome that recruits the Rag GTPases and holds mTORC1 in position on the lysosome's surface so it can be switched on there.,,3,https://mtor-atlas.org/complex/ragulator/
ASCL1,Gene/Protein,"Achaete-scute homolog 1, a bHLH transcription factor that acts upstream of a CCNB1/mTOR axis in renal injury.",A transcription factor - a protein that switches genes on - best known for steering cells toward a nerve-cell identity. In kidney injury it sits at the top of a chain that runs through CCNB1 to mTOR.,,0,
Spalt-related (Salr),Gene/Protein,"Transcription factor in Drosophila identified as a novel inhibitor of mTORC1-mediated growth, activated by the integrated stress response to restrict anabolic processes during nutrient stress.",A gene switch found in fruit flies that blocks mTORC1-driven growth. It's turned on by the cell's stress-alarm system to slow down growth-related processes when nutrients are scarce.,,1,
Macronutrient ratio,Intervention,Ratio of protein:carbohydrate:fat in the diet; affects mTOR activation independently of total caloric intake.,"The balance of protein, carbohydrate, and fat in the diet. Changing this ratio can switch mTOR activity up or down independently of how many total calories are eaten.",,1,
